device_name,cellnumber,batt_mv,uptime_s,chmln_top_ohms,chmln_bot_ohms,ds18b20_top_temp_c,ds18b20_bot_temp_c,smt_vwc_raw,smt_temp_raw,date_created_utc
C2,0493539417,4105,49,1455.767,1533.258,16.25,16.1875,78,159,"2022-10-12  08:24:15"
C2,0493539417,4115,671,1758.621,2819.549,16.125,16.1875,79,161,"2022-10-12  08:35:51"
C2,0493539417,4104,1310,1758.621,2771.536,16.0625,16.1875,79,161,"2022-10-12  08:47:20"
C2,0493539417,4115,1931,1772.152,2755.611,16.125,16.125,79,160,"2022-10-12  08:58:55"
C2,0493539417,4105,2564,1772.152,2739.726,16.125,16.125,79,161,"2022-10-12  09:10:31"
C2,0493539417,4114,3199,1772.152,2739.726,16.125,16.0625,79,161,"2022-10-12  09:21:55"
C2,0493539417,4113,3820,1785.714,2723.881,16.125,16.0625,79,161,"2022-10-12  09:33:18"
C2,0493539417,4111,4441,1785.714,2723.881,16,16,79,160,"2022-10-12  09:44:53"
C2,0493539417,4109,5074,1785.714,2723.881,16.0625,16,79,160,"2022-10-12  09:56:28"
C2,0493539417,4106,5707,1785.714,2708.074,16,15.9375,79,160,"2022-10-12  10:08:03"
C2,0493539417,4100,6346,1785.714,2708.074,16.0625,15.9375,79,160,"2022-10-12  10:19:32"
C2,0493539417,4108,6967,1785.714,2708.074,16,15.9375,79,160,"2022-10-12  10:31:07"
C2,0493539417,4108,7600,1785.714,2692.308,16,15.875,79,159,"2022-10-12  10:42:43"
C2,0493539417,4106,8234,1799.308,2692.308,16,15.875,79,159,"2022-10-12  10:54:18"
C2,0493539417,4105,8868,1758.621,2676.58,16,15.8125,81,160,"2022-10-12  11:05:42"
C2,0493539417,4105,9489,1638.225,2645.241,16,15.625,81,159,"2022-10-12  11:17:17"
C2,0493539417,4104,10122,1625,2660.891,15.9375,15.5625,82,159,"2022-10-12  11:28:40"
C2,0493539417,4093,10750,1598.64,2676.58,15.9375,15.5,81,159,"2022-10-12  11:40:10"
C2,0493539417,4085,11372,1585.504,2723.881,15.8125,15.125,82,158,"2022-10-12  11:51:34"
C2,0493539417,4102,12000,1585.504,2787.5,15.75,14.8125,82,157,"2022-10-12  12:03:04"
C2,0493539417,4100,12621,1598.64,2787.5,15.4375,14.6875,82,156,"2022-10-12  12:14:39"
C2,0493539417,4101,13275,1598.64,2739.726,15.125,14.625,82,157,"2022-10-12  12:26:23"
C2,0493539417,4100,13902,1598.64,2755.611,14.9375,14.5625,82,156,"2022-10-12  12:38:04"
C2,0493539417,4099,14536,1598.64,2739.726,14.875,14.5625,81,155,"2022-10-12  12:49:39"
C2,0493539417,4097,15169,1611.805,2739.726,14.8125,14.5,81,154,"2022-10-12  13:01:03"
C2,0493539417,4098,15791,1611.805,2708.074,14.8125,14.5,81,156,"2022-10-12  13:12:26"
C2,0493539417,4088,16412,1611.805,2676.58,14.75,14.5625,81,156,"2022-10-12  13:23:50"
C2,0493539417,4093,17034,1598.64,2629.63,14.8125,14.5625,82,156,"2022-10-12  13:35:13"
C2,0493539417,4089,17655,1611.805,2614.057,14.75,14.5625,81,154,"2022-10-12  13:46:36"
C2,0493539417,4085,18277,1598.64,2552.147,14.75,14.625,80,153,"2022-10-12  13:58:00"
C2,0493539417,4086,18898,1598.64,2490.843,14.875,14.625,82,156,"2022-10-12  14:09:23"
C2,0493539417,4085,19527,1598.64,2415.049,14.875,14.75,82,157,"2022-10-12  14:20:54"
C2,0493539417,4089,20156,1585.504,2340.169,14.875,14.8125,81,156,"2022-10-12  14:32:24"
C2,0493539417,4080,20790,1585.504,2295.673,15,14.9375,80,156,"2022-10-12  14:44:13"
C2,0493539417,4082,21424,1598.64,2266.187,15,14.9375,80,157,"2022-10-12  14:55:37"
C2,0493539417,4080,22050,1598.64,2236.842,15.0625,15.0625,80,158,"2022-10-12  15:07:05"
C2,0493539417,4089,22671,1611.805,2222.222,15.0625,15,80,157,"2022-10-12  15:18:51"
C2,0493539417,4088,23321,1611.805,2207.637,15.1875,15.125,80,158,"2022-10-12  15:30:31"
C2,0493539417,4076,23954,1611.805,2193.087,15.1875,15.125,80,157,"2022-10-12  15:41:55"
C2,0493539417,4088,24575,1611.805,2178.572,15.1875,15.1875,80,157,"2022-10-12  15:53:41"
C2,0493539417,4076,25224,1611.805,2164.09,15.1875,15.1875,80,158,"2022-10-12  16:05:09"
C2,0493539417,4086,25846,1625,2164.09,15.25,15.25,80,158,"2022-10-12  16:16:44"
C2,0493539417,4080,26479,1625,2149.644,15.3125,15.25,80,158,"2022-10-12  16:28:07"
C2,0493539417,4084,27100,1625,2149.644,15.3125,15.3125,79,156,"2022-10-12  16:39:53"
C2,0493539417,4072,27748,1625,2149.644,15.375,15.25,80,158,"2022-10-12  16:51:21"
C2,0493539417,4083,29009,1638.225,2135.231,15.375,15.25,80,158,"2022-10-12  17:14:37"
C2,0493539417,4082,29642,1638.225,2135.231,15.3125,15.25,80,158,"2022-10-12  17:26:01"
C2,0493539417,4074,30264,1638.225,2135.231,15.375,15.3125,80,158,"2022-10-12  17:37:24"
C2,0493539417,4081,30886,1638.225,2135.231,15.375,15.25,80,158,"2022-10-12  17:48:47"
